"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"244111_at",-5.7636427032353,4.86665904434043,-14.0853675130531,2.47256491834079e-18,4.3372909609228e-15,31.5016542205814,"KRT222","keratin 222"
"203989_x_at",4.91515504991855,8.95556639251064,14.0065001355565,3.05386839513165e-18,4.94491767057855e-15,31.2962545117772,"F2R","coagulation factor II thrombin receptor"
"206080_at",-3.16183529591855,3.14047803146808,-13.7615603566956,5.91194889100706e-18,8.88903743969276e-15,30.6532416264517,"PLCH2","phospholipase C eta 2"
"230010_at",-6.19600160048417,4.95488802955319,-13.6933210062563,7.11570406357875e-18,9.98570470255552e-15,30.4727190289241,"SRRM4","serine/arginine repetitive matrix 4"
"218039_at",6.17512591503846,9.11817460953191,13.279744025588,2.21480441834599e-17,2.91385206288645e-14,29.3656256855587,"NUSAP1","nucleolar and spindle associated protein 1"
"213170_at",4.41483305928507,6.50584789514894,13.229658553918,2.54493663671466e-17,3.15123036487315e-14,29.2300279796447,"GPX7","glutathione peroxidase 7"
"219896_at",-6.65407710525566,4.26622951929787,-13.1920086084198,2.82569887632929e-17,3.3044978525962e-14,29.127879098512,"CALY","calcyon neuron specific vesicular protein"
"204757_s_at",-1.94601927570136,7.55630694725532,-13.1669648248626,3.02970145041279e-17,3.35659029111523e-14,29.0598284265478,"C2CD2L","C2CD2 like"
"205531_s_at",-5.34423035900226,4.3685201502766,-13.1456213731316,3.21534447501218e-17,3.38415005995032e-14,29.0017670090858,"GLS2","glutaminase 2"
"215267_s_at",-6.55358470823982,4.63640374723404,-13.1162714053784,3.48966879661161e-17,3.49797753184164e-14,28.921826587323,"SLC8A2","solute carrier family 8 member A2"
"203213_at",5.79115645355882,8.2632732807234,13.0942288654782,3.71123892852112e-17,3.55098088388043e-14,28.8617142802161,"CDK1","cyclin dependent kinase 1"
"213368_x_at",-3.44903969959276,4.46436348231915,-13.0561206800703,4.12858699472461e-17,3.62111484328971e-14,28.7576371678749,"PPFIA3","PPFI scaffold protein A3"
"218883_s_at",5.7576944867715,8.64733526440425,13.0637071953431,4.04186024639611e-17,3.62111484328971e-14,28.7783720433874,"CENPU","centromere protein U"
"220166_at",-4.59520412136199,4.36267949308511,-12.985893230311,5.02689763524035e-17,4.23264780887237e-14,28.5653337245362,"CNNM1","cyclin and CBS domain divalent metal cation transport mediator 1"
"220185_at",-2.75204414292081,6.5496491487234,-12.86952663239,6.97531054844026e-17,5.64731873248721e-14,28.2452417796269,"SPTBN4","spectrin beta, non-erythrocytic 4"
"222762_x_at",3.57826246338688,9.03583497089362,12.8372949319827,7.64010524948936e-17,5.74372198220539e-14,28.1562617964428,"LIMD1","LIM domain containing 1"
"242036_x_at",-4.05994066279412,4.50252049219149,-12.8388748832508,7.60606489901577e-17,5.74372198220539e-14,28.1606267020983,"ATP2B3","ATPase plasma membrane Ca2+ transporting 3"
"219148_at",6.6160071367466,7.53380382002128,12.8080420307584,8.29909274366609e-17,6.02399662945418e-14,28.075384985637,"PBK","PDZ binding kinase"
"229032_at",-5.38910692938236,4.32915063691489,-12.7910205356355,8.70882770466935e-17,6.11069410610966e-14,28.0282722151877,"WSCD2","WSC domain containing 2"
"202589_at",5.08607858859276,10.2069418471064,12.7015608552584,1.12258234105479e-16,7.62269621909787e-14,27.7800243578138,"TYMS","thymidylate synthetase"
"204825_at",6.29404789494344,8.123781969,12.6457966117596,1.31574040864347e-16,8.39282897028638e-14,27.6247373642865,"MELK","maternal embryonic leucine zipper kinase"
"225890_at",2.53387473863575,9.36177324329787,12.6464002326836,1.31347836259864e-16,8.39282897028638e-14,27.6264205055749,"MGME1","mitochondrial genome maintenance exonuclease 1"
"214344_at",-2.23738424016968,3.9796626887234,-12.6207793029778,1.41305681475966e-16,8.6503252574595e-14,27.5549358581672,NA,NA
"225655_at",6.25335801944344,8.68485080991489,12.6145765928598,1.43829636109778e-16,8.6503252574595e-14,27.537616491396,"UHRF1","ubiquitin like with PHD and ring finger domains 1"
"239359_at",-4.46076676937783,3.9211546022766,-12.5595327565581,1.68334352858131e-16,9.8428836879546e-14,27.3836950673815,"MARCHF11","membrane associated ring-CH-type finger 11"
"207593_at",-2.98874180413801,3.00545224329787,-12.4769234086905,2.13318201917784e-16,1.21360760820793e-13,27.1519258974552,"ABCG4","ATP binding cassette subfamily G member 4"
"203755_at",5.74834043779185,6.94047549810638,12.4433664649061,2.34918345341085e-16,1.30132399195522e-13,27.0575157899557,"BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B"
"212533_at",5.13749176563574,9.38835558385106,12.3961105388343,2.69161085690023e-16,1.41646021344375e-13,26.9243070444818,"WEE1","WEE1 G2 checkpoint kinase"
"219161_s_at",3.10105904927376,9.37063433670213,12.4041459328293,2.62999521220383e-16,1.41646021344375e-13,26.94697910958,"CKLF","chemokine like factor"
"219161_s_at",3.10105904927376,9.37063433670213,12.4041459328293,2.62999521220383e-16,1.41646021344375e-13,26.94697910958,"CKLF-CMTM1","CKLF-CMTM1 readthrough"
"211034_s_at",-2.34609008705204,9.63147263151064,-12.3319491420413,3.23926939400954e-16,1.66308831082685e-13,26.7429613655881,"HECTD4","HECT domain E3 ubiquitin protein ligase 4"
"206280_at",-7.24549221642534,4.63023360906383,-12.2736549771946,3.8346436669603e-16,1.92188688546463e-13,26.5777166124173,"CDH18","cadherin 18"
"228804_at",-4.09522715236199,4.44640254402128,-12.1455325262955,5.56474275503508e-16,2.66222352257928e-13,26.2129162917794,"DGCR5","DiGeorge syndrome critical region gene 5"
"239837_at",-5.14677147415837,6.3545739153617,-12.1464464768004,5.54993930313108e-16,2.66222352257928e-13,26.2155264332369,"ADAM11","ADAM metallopeptidase domain 11"
"215003_at",-4.13778959303168,4.04428434617021,-12.0316374612346,7.76204837412949e-16,3.63091373945391e-13,25.8867586735699,NA,NA
"202954_at",5.94023361673756,8.70082213955319,12.0240755636922,7.93593245311416e-16,3.63155169865333e-13,25.8650416618558,"UBE2C","ubiquitin conjugating enzyme E2 C"
"201923_at",2.51910103986878,11.5524137181277,11.9913456815632,8.7353387502925e-16,3.91231661050334e-13,25.7709553000547,"PRDX4","peroxiredoxin 4"
"203022_at",4.19524232908371,6.8101729617234,11.9712812022164,9.26534692912747e-16,4.06324068454444e-13,25.7132054694443,"RNASEH2A","ribonuclease H2 subunit A"
"244084_at",-4.87028648169005,3.93401124882979,-11.9433091492966,1.0059196379459e-15,4.32134864872676e-13,25.6326048208013,"AIFM3","AIF family member 3"
"202666_s_at",2.99890830938235,9.21555791231915,11.8933829704584,1.16518411932336e-15,4.90542514235136e-13,25.4884801472664,"ACTL6A","actin like 6A"
"210400_at",-4.13996496911086,3.50689999831915,-11.8504474159127,1.32251302448915e-15,5.41202550884371e-13,25.3642651440828,"GRIN2C","glutamate ionotropic receptor NMDA type subunit 2C"
"213200_at",-4.01961361498869,6.94949030925532,-11.8467738044238,1.33693741786163e-15,5.41202550884371e-13,25.3536255565584,"SYP","synaptophysin"
"229065_at",-4.56348376528959,4.79026611334043,-11.794344997413,1.56109535377826e-15,6.08538096241342e-13,25.2015805490805,"SLC35F3","solute carrier family 35 member F3"
"234984_at",3.42191169388914,8.46097122053192,11.8003885464446,1.53342195859333e-15,6.08538096241342e-13,25.2191260381749,"NEDD1","NEDD1 gamma-tubulin ring complex targeting factor"
"226073_at",2.43256459120814,7.85482250023404,11.7828717403742,1.61503377110627e-15,6.18117470577946e-13,25.1682580177905,"TMEM218","transmembrane protein 218"
"235468_at",-7.7307844208258,4.94106700940426,-11.7722013633129,1.66689437516923e-15,6.26573689237719e-13,25.1372513047496,"RBFOX3","RNA binding fox-1 homolog 3"
"219918_s_at",6.79879909399773,7.51104609804255,11.7378996410566,1.84534438742597e-15,6.81482444830116e-13,25.0374702953413,"ASPM","assembly factor for spindle microtubules"
"214495_at",-4.68928627723982,3.72842431340426,-11.7182435135499,1.95622061169235e-15,7.09973170278e-13,24.9802201735277,"CACNG2","calcium voltage-gated channel auxiliary subunit gamma 2"
"203358_s_at",5.45326101237783,7.45939743548936,11.7094008296607,2.0082823352041e-15,7.16514290780444e-13,24.9544480079975,"EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit"
"213242_x_at",-2.34557003484163,9.0560932317234,-11.6818848674873,2.17945577292037e-15,7.64625733666229e-13,24.8741843190765,"CEP170B","centrosomal protein 170B"
"204162_at",5.40045731588462,6.91830658159574,11.6590786969078,2.33250834218651e-15,8.04906567262723e-13,24.8075811295571,"NDC80","NDC80 kinetochore complex component"
"204586_at",-5.69330999664932,4.30825635195745,-11.644351074579,2.43709803503161e-15,8.27434090926054e-13,24.7645330305161,"BSN","bassoon presynaptic cytomatrix protein"
"228436_at",-3.34756326123982,5.1441692616383,-11.5846754030256,2.91196820837464e-15,9.72967155337877e-13,24.5898027160195,"KCNC4","potassium voltage-gated channel subfamily C member 4"
"221217_s_at",-6.45431476024434,8.05123385880851,-11.576337206635,2.98541852879634e-15,9.8192281298692e-13,24.5653500010193,"RBFOX1","RNA binding fox-1 homolog 1"
"217925_s_at",-1.86393520876697,8.4721531177234,-11.5524382684519,3.20652864460839e-15,1.00742429804487e-12,24.4952113581728,"ILRUN","inflammation and lipid regulator with UBA-like and NBR1-like domains"
"218585_s_at",6.19216144258823,7.72488642919149,11.5533645800346,3.19765659437006e-15,1.00742429804487e-12,24.4979313426157,"DTL","denticleless E3 ubiquitin protein ligase adapter"
"231771_at",-8.842453729819,5.81248833261702,-11.5558146814687,3.17430980456498e-15,1.00742429804487e-12,24.5051251616805,"GJB6","gap junction protein beta 6"
"218355_at",5.83598575003846,6.75117842802128,11.4993826019692,3.75868770133131e-15,1.16353494283859e-12,24.3392265376562,"KIF4A","kinesin family member 4A"
"239290_at",-6.08640020981674,4.75555402348936,-11.4890502934904,3.87696825546392e-15,1.18275625764515e-12,24.3088049053968,"FRMPD4","FERM and PDZ domain containing 4"
"220448_at",-4.72031965454299,4.13537633174468,-11.4781690891203,4.00561839139166e-15,1.20454667341135e-12,24.2767514954419,"KCNK12","potassium two pore domain channel subfamily K member 12"
"229925_at",-4.19308560196833,3.57462916423404,-11.4656129399109,4.15946510879706e-15,1.2331935287349e-12,24.2397441482209,"SLC6A17","solute carrier family 6 member 17"
"206780_at",-5.86453746835068,6.29004628053192,-11.4489220838591,4.37329753276503e-15,1.27858212589866e-12,24.190517285422,"GAD2","glutamate decarboxylase 2"
"203842_s_at",-1.68901499142308,7.42432145382979,-11.4284628923763,4.65068937256277e-15,1.34105494921159e-12,24.1301248348475,"MAPRE3","microtubule associated protein RP/EB family member 3"
"239139_at",-4.23177862473303,3.73997417491489,-11.4216632024116,4.74678048673486e-15,1.35026661142931e-12,24.1100406129551,"CPNE9","copine family member 9"
"204146_at",3.95413724798416,8.397547935,11.3926487053825,5.17997107678034e-15,1.45384521554968e-12,24.0242701789976,"RAD51AP1","RAD51 associated protein 1"
"225081_s_at",3.97326036706108,9.6729914686383,11.372089481032,5.51101120469023e-15,1.52640507708854e-12,23.9634255307937,"CDCA7L","cell division cycle associated 7 like"
"239067_s_at",-3.7983710202353,4.78789295768085,-11.3130136086548,6.58674090832339e-15,1.80066098857412e-12,23.7882730149462,"PANX2","pannexin 2"
"206017_at",-5.21445763823982,5.21005711308511,-11.293398116193,6.98918913018968e-15,1.83903038988116e-12,23.7300110816978,"KIAA0319","KIAA0319"
"225840_at",-3.35989339140046,8.38787292031915,-11.295908665425,6.93631965093378e-15,1.83903038988116e-12,23.7374708200295,"TEF","TEF transcription factor, PAR bZIP family member"
"228242_at",3.20148359793665,8.08860211285106,11.2941354947761,6.97361847596354e-15,1.83903038988116e-12,23.7322021852504,"N4BP2","NEDD4 binding protein 2"
"221631_at",-3.40842108516063,4.94142592738298,-11.2875119854844,7.11475285524321e-15,1.84895737781321e-12,23.7125179419577,"CACNA1I","calcium voltage-gated channel subunit alpha1 I"
"217231_s_at",-4.4947695086086,3.86948613125532,-11.2582793582863,7.77308845604393e-15,1.97771602992483e-12,23.6255713299922,"MAST1","microtubule associated serine/threonine kinase 1"
"236964_at",-4.24745773279864,5.33682926957447,-11.257218011099,7.79812021300526e-15,1.97771602992483e-12,23.6224123906068,NA,NA
"205739_x_at",2.4316327474457,8.34266940810638,11.2102098685701,8.99285511665204e-15,2.24109801162241e-12,23.4823470359844,"ZNF107","zinc finger protein 107"
"219538_at",3.05324536500678,6.06765817542553,11.2081390125137,9.04956441747767e-15,2.24109801162241e-12,23.4761698506363,"WDR5B","WD repeat domain 5B"
"204252_at",4.48823695428733,8.02824161476596,11.1868144818757,9.65504983924511e-15,2.36324185018732e-12,23.4125269168496,"CDK2","cyclin dependent kinase 2"
"230177_at",2.94221143593212,9.10015684734043,11.1637854519624,1.03551938943884e-14,2.50548082157329e-12,23.34372795142,"GTF2H2","general transcription factor IIH subunit 2"
"230177_at",2.94221143593212,9.10015684734043,11.1637854519624,1.03551938943884e-14,2.50548082157329e-12,23.34372795142,"GTF2H2B","general transcription factor IIH subunit 2B (pseudogene)"
"230177_at",2.94221143593212,9.10015684734043,11.1637854519624,1.03551938943884e-14,2.50548082157329e-12,23.34372795142,"GTF2H2C","GTF2H2 family member C"
"204444_at",5.27437927259729,6.81244974942553,11.1450608037823,1.09622849065465e-14,2.62222837821367e-12,23.287735513581,"KIF11","kinesin family member 11"
"215172_at",-4.37458839371267,4.56686234187234,-11.1402717126413,1.11232724106288e-14,2.63084139599703e-12,23.2734070657192,"PTPN20","protein tyrosine phosphatase non-receptor type 20"
"205414_s_at",-5.77763371223303,6.33218276451064,-11.1146759230203,1.20252376023718e-14,2.81256946144364e-12,23.1967747529071,"ARHGAP44","Rho GTPase activating protein 44"
"205336_at",-6.9315994192896,4.86820782314894,-11.1104200777087,1.21822457285054e-14,2.81798101741801e-12,23.1840244325137,"PVALB","parvalbumin"
"1556351_at",-6.22646044443892,5.22862372553192,-11.0707403917916,1.37499880932075e-14,3.1460570582828e-12,23.0650284051343,"HCN1","hyperpolarization activated cyclic nucleotide gated potassium channel 1"
"215153_at",-2.93477548402941,6.13643390244681,-11.0463808553817,1.48122839044326e-14,3.35267286223985e-12,22.991871148618,"NOS1AP","nitric oxide synthase 1 adaptor protein"
"232003_at",-4.96152406647059,5.34118484844681,-11.0424774285514,1.49900851218827e-14,3.35682225335777e-12,22.9801408395319,"PNMA8B","PNMA family member 8B"
"204546_at",-3.9138330781086,9.10918757514894,-11.0353430822301,1.53206660543463e-14,3.39473705730515e-12,22.9586958950575,"KIAA0513","KIAA0513"
"238662_at",2.46212563716742,6.23978372159575,10.9835646708984,1.79522329083191e-14,3.93640107000122e-12,22.802851378103,"DPH6","diphthamine biosynthesis 6"
"204611_s_at",-1.3097040469819,9.46904404312766,-10.9675308311248,1.88567274232733e-14,4.09210425010209e-12,22.7545190806076,"PPP2R5B","protein phosphatase 2 regulatory subunit B'beta"
"202705_at",6.0052349174457,7.29948366370213,10.9474208120649,2.00567989064294e-14,4.28305189908332e-12,22.6938507687966,"CCNB2","cyclin B2"
"216306_x_at",2.02729760423529,11.5973534177021,10.9460143907205,2.0143569501627e-14,4.28305189908332e-12,22.689605817238,"PTBP1","polypyrimidine tract binding protein 1"
"219277_s_at",-5.23033541871946,4.88324580165957,-10.9348894708355,2.08434810941057e-14,4.38755277030925e-12,22.6560185123858,"OGDHL","oxoglutarate dehydrogenase L"
"244617_at",-4.11582109369005,4.969807884,-10.9281198616274,2.12813975730678e-14,4.435380385278e-12,22.6355722222771,"GPR26","G protein-coupled receptor 26"
"219659_at",-6.35094793282579,6.33397696546808,-10.9032629103183,2.29709239642376e-14,4.7405681318353e-12,22.5604439111539,"ATP8A2","ATPase phospholipid transporting 8A2"
"225815_at",-5.77077410472172,5.23050727085106,-10.8556418235107,2.6597329192795e-14,5.43566776221684e-12,22.416281424447,"CPLX2","complexin 2"
"235781_at",-6.83116683223756,5.55413653314894,-10.8409310857114,2.7831001162889e-14,5.63310167768089e-12,22.3716864898846,"CACNA1B","calcium voltage-gated channel subunit alpha1 B"
"210675_s_at",-5.46296257376471,4.81486323148936,-10.8124124052101,3.03903973429709e-14,6.0679735238973e-12,22.2851509730714,"PTPRR","protein tyrosine phosphatase receptor type R"
"221539_at",4.14812516173303,8.28641265197872,10.8106511813508,3.0556066201098e-14,6.0679735238973e-12,22.2798032484261,"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1"
"218248_at",3.43552095053619,7.54748010370213,10.805825056605,3.10147397225356e-14,6.10149786130257e-12,22.2651472317414,"FAM111A","FAM111 trypsin like peptidase A"
"232562_at",-4.45387219738688,4.37986077653192,-10.7834794598231,3.3231140152e-14,6.4175733963266e-12,22.1972473917312,"OTUD7A","OTU deubiquitinase 7A"
"235225_at",-6.54727924169457,6.76487782187234,-10.7849238717768,3.30831376273537e-14,6.4175733963266e-12,22.2016384300046,"SCN2B","sodium voltage-gated channel beta subunit 2"
"210454_s_at",-4.55627289752941,5.47936382653192,-10.7779107715417,3.38080471684495e-14,6.46963084450783e-12,22.1803158734795,"KCNJ6","potassium inwardly rectifying channel subfamily J member 6"
"223604_at",-3.50781772091403,6.86321547219149,-10.7507980221802,3.67653033274551e-14,6.97215887426063e-12,22.0978208429906,"GARNL3","GTPase activating Rap/RanGAP domain like 3"
"1554526_at",-5.70816752438914,5.62316928493617,-10.7067268750677,4.21426762695807e-14,7.92056549530958e-12,21.9635180594337,"OLFM3","olfactomedin 3"
"200600_at",2.15809158236199,12.4328274805106,10.6958935818948,4.35824306899338e-14,8.04745759669392e-12,21.9304650064686,"MSN","moesin"
"219493_at",4.50825001898869,7.57429238170213,10.6982289172389,4.3267905326461e-14,8.04745759669392e-12,21.9375915799826,"SHCBP1","SHC binding and spindle associated 1"
"207768_at",-6.82997210137557,4.935403675,-10.6905990465776,4.43041121994784e-14,8.10957879825235e-12,21.9143053711821,"EGR4","early growth response 4"
"205852_at",-5.31133536938236,5.4809011743617,-10.68717372993,4.47774460655271e-14,8.12556241102884e-12,21.9038488576711,"CDK5R2","cyclin dependent kinase 5 regulatory subunit 2"
"213276_at",-3.85873260370362,8.01352695795745,-10.6730349512167,4.67860996119471e-14,8.41749911821783e-12,21.8606707014597,"CAMK2B","calcium/calmodulin dependent protein kinase II beta"
"232642_at",-2.10125161816968,3.17873842176596,-10.6466319607633,5.07849309058078e-14,9.05951521667165e-12,21.7799680083464,"VWA5B2","von Willebrand factor A domain containing 5B2"
"213421_x_at",-4.3746144919095,3.97630968978723,-10.633370923273,5.29223088267714e-14,9.36146723364318e-12,21.7393997645148,"PRSS3","serine protease 3"
"206888_s_at",-5.08563032639819,5.02483221559574,-10.5407251234135,7.06305793713356e-14,1.22873859154266e-11,21.4553274885292,"ARHGDIG","Rho GDP dissociation inhibitor gamma"
"219425_at",-6.28778531953846,5.87849939185106,-10.5433779852871,7.00481591834738e-14,1.22873859154266e-11,21.4634775244323,"SULT4A1","sulfotransferase family 4A member 1"
"214819_at",-2.63943528791177,6.34154202008511,-10.5369375670613,7.1470628275375e-14,1.23316125016118e-11,21.4436898713381,"IQSEC2","IQ motif and Sec7 domain ArfGEF 2"
"207299_s_at",-6.09792818507692,4.8697278013617,-10.5270831289945,7.37040034676068e-14,1.26135713251473e-11,21.4134023295413,"GRM1","glutamate metabotropic receptor 1"
"241805_at",-5.92611549382806,6.82307550502128,-10.5100401756995,7.7734795170442e-14,1.3196108373692e-11,21.3609907121991,"GABRG1","gamma-aminobutyric acid type A receptor subunit gamma1"
"217716_s_at",2.05696811260859,10.1725440012553,10.4906535854692,8.25922362881927e-14,1.39085325909317e-11,21.3013252563903,"SEC61A1","SEC61 translocon subunit alpha 1"
"207383_s_at",-2.7587881699095,2.78913138897872,-10.4792338368626,8.55963090655275e-14,1.4300018300233e-11,21.2661559224902,"RHBDL1","rhomboid like 1"
"210252_s_at",-2.3776828717896,9.19387159597872,-10.4461556077786,9.49376255011848e-14,1.57357245417318e-11,21.1641883140675,"MADD","MAP kinase activating death domain"
"223708_at",-4.57727239623529,6.97365209180851,-10.4351673038375,9.82640722013644e-14,1.615983374874e-11,21.1302837461274,"C1QTNF4","C1q and TNF related 4"
"240048_at",-1.65077216079864,3.28547629108511,-10.4324197311733,9.91141291257487e-14,1.61732745588915e-11,21.1218035951118,"STRC","stereocilin"
"241382_at",-5.41924205911086,5.83731899568085,-10.4278453022536,1.00545944934483e-13,1.62807087759298e-11,21.1076828094434,"PCP4L1","Purkinje cell protein 4 like 1"
"229365_at",-2.93917855061538,6.25860258495745,-10.4056849963298,1.07784540325435e-13,1.73195768996215e-11,21.0392374131288,"PPP1R3F","protein phosphatase 1 regulatory subunit 3F"
"223810_at",-3.54291901246833,3.74168752374468,-10.3896288730036,1.13357091056447e-13,1.80770209601379e-11,20.9896054991444,"KLHL1","kelch like family member 1"
"206690_at",-4.41124037964253,4.5970671203617,-10.3561875025364,1.25918846969843e-13,1.99164243301751e-11,20.8861248847257,"ASIC2","acid sensing ion channel subunit 2"
"229442_at",3.12039711449321,7.35219731506383,10.3540105354566,1.2678388884767e-13,1.99164243301751e-11,20.8793834353444,"C18orf54","chromosome 18 open reading frame 54"
"201664_at",2.92432448773303,10.3884991897447,10.3411897492839,1.3200188426883e-13,2.05825160285843e-11,20.839668548403,"SMC4","structural maintenance of chromosomes 4"
"205050_s_at",-3.02653622878507,6.72665556368085,-10.3387410584862,1.33022961665575e-13,2.05892157577968e-11,20.8320808113978,"MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2"
"230112_at",-4.63473313428507,3.98131799385106,-10.3336541050357,1.35169809728959e-13,2.07687919328072e-11,20.8163154128477,"MARCHF4","membrane associated ring-CH-type finger 4"
"1557098_s_at",-3.23870904859502,4.40794831465957,-10.3308900775133,1.36350991360593e-13,2.07984664358005e-11,20.8077477714968,"HAR1A","highly accelerated region 1A"
"202107_s_at",5.15285826416516,8.1317951452766,10.3064792219614,1.47247382747594e-13,2.22989741499054e-11,20.7320383529949,"MCM2","minichromosome maintenance complex component 2"
"237719_x_at",-5.67529821192534,5.36271262959574,-10.2864583832198,1.56839868840933e-13,2.35819945650116e-11,20.6698865225046,"RGS7BP","regulator of G protein signaling 7 binding protein"
"209556_at",-3.79300101233258,8.84669860878723,-10.2807836461309,1.59672183625747e-13,2.38375848604395e-11,20.6522606332837,"NCDN","neurochondrin"
"218662_s_at",3.70946492552941,7.87381764408511,10.2705127543996,1.64930874907024e-13,2.44492599774145e-11,20.6203483232088,"NCAPG","non-SMC condensin I complex subunit G"
"202095_s_at",6.23162238084615,6.405593804,10.2656046602282,1.67505408846216e-13,2.46046664160697e-11,20.6050937273419,"BIRC5","baculoviral IAP repeat containing 5"
"228206_at",-5.33478987458824,4.21658272548936,-10.2640733456127,1.68316957905655e-13,2.46046664160697e-11,20.6003336869309,"HS3ST4","heparan sulfate-glucosamine 3-sulfotransferase 4"
"232735_at",-5.29212789740272,4.24033468878723,-10.2601880094984,1.70393977942997e-13,2.47365050737937e-11,20.5882548836808,"ANKRD34A","ankyrin repeat domain 34A"
"203389_at",-2.9694280363914,9.06340989414894,-10.257262242696,1.71975146911459e-13,2.47950468663439e-11,20.5791579141419,"KIF3C","kinesin family member 3C"
"243666_at",-4.10658340577149,3.62424273959574,-10.2549058894109,1.73259384122192e-13,2.48102723521914e-11,20.5718305919976,NA,NA
"210408_s_at",-5.78951622907013,4.31200123357447,-10.2416864422673,1.80646325352668e-13,2.56932780315788e-11,20.5307100171952,"CPNE6","copine 6"
"228132_at",-4.03515102900679,6.61537445491489,-10.2298572080424,1.87526514277452e-13,2.64928397687273e-11,20.4938946591719,"ABLIM2","actin binding LIM protein family member 2"
"1552689_at",-4.23421502945475,8.62488719806383,-10.2241997789643,1.90910229504502e-13,2.67910688737984e-11,20.4762810052577,"CASKIN1","CASK interacting protein 1"
"214817_at",-2.88591832085068,7.15149017480851,-10.2161776331632,1.95814560999509e-13,2.72973278744349e-11,20.4512980200141,"UNC13A","unc-13 homolog A"
"228550_at",-4.52546359652942,4.64014530997872,-10.1955951764159,2.08989379620342e-13,2.8829118563369e-11,20.3871609996961,"RTN4R","reticulon 4 receptor"
"230359_at",-4.48793203295928,5.89593225785106,-10.1947610887908,2.0954181188577e-13,2.8829118563369e-11,20.3845607442609,"KNDC1","kinase non-catalytic C-lobe domain containing 1"
"216237_s_at",3.87027791443665,7.82950260934043,10.1752524928986,2.228930859921e-13,3.02703190976368e-11,20.3237173853994,"MCM5","minichromosome maintenance complex component 5"
"228973_at",-5.72662843378733,7.40929068621277,-10.1759767225319,2.2238236978759e-13,3.02703190976368e-11,20.3259769883594,"DLG2","discs large MAGUK scaffold protein 2"
"1552557_a_at",2.98164136676018,5.90128144931915,10.1658688501748,2.29618678745334e-13,3.05916024530968e-11,20.2944342228532,"ZDHHC15","zDHHC palmitoyltransferase 15"
"208567_s_at",-3.78769813256561,3.70177864119149,-10.1667124612602,2.29005716991901e-13,3.05916024530968e-11,20.2970673108016,"KCNJ12","potassium inwardly rectifying channel subfamily J member 12"
"208567_s_at",-3.78769813256561,3.70177864119149,-10.1667124612602,2.29005716991901e-13,3.05916024530968e-11,20.2970673108016,"KCNJ18","potassium inwardly rectifying channel subfamily J member 18"
"219119_at",2.30366518481221,9.67942854444681,10.1689705507332,2.27373144357022e-13,3.05916024530968e-11,20.3041148326125,"LSM8","LSM8 homolog, U6 small nuclear RNA associated"
"213066_at",-2.66875786427149,7.9380842097234,-10.1061448343559,2.77517878124461e-13,3.67405744309428e-11,20.1077903261087,"RUSC2","RUN and SH3 domain containing 2"
"1566219_at",-2.52789193616969,3.11898248223404,-10.098221422703,2.84591408141186e-13,3.7250347307197e-11,20.0829944114074,"KRTAP5-AS1","KRTAP5-1/KRTAP5-2 antisense RNA 1"
